index,Date,Open,High,Low,Close,Volume
0,1/3/2012,0.0858137,0.0964013,0.0904493,0.2375729,0.2952583
1,1/4/2012,0.0970124,0.0983435,0.0982346,0.2415143,0.2299359
2,1/5/2012,0.0943337,0.0925169,0.0940862,0.2287805,0.2636123
3,1/6/2012,0.0915619,0.0888192,0.0880058,0.2164188,0.2161794
4,1/9/2012,0.0798423,0.0767176,0.0610699,0.1785483,0.4677974
5,1/10/2012,0.0643277,0.0644481,0.0569783,0.1794716,0.3530677
6,1/11/2012,0.0585423,0.0603395,0.0609562,0.1833579,0.1926272
7,1/12/2012,0.0656857,0.063589,0.0660327,0.1884156,0.1504405
8,1/13/2012,0.0610909,0.0580611,0.0608994,0.1820211,0.1851782
9,1/17/2012,0.0663926,0.0627486,0.0652561,0.1869548,0.1531798
10,1/18/2012,0.0614257,0.0646348,0.0619033,0.1929082,0.2217101
11,1/19/2012,0.0747451,0.0711338,0.0707115,0.2020589,0.5066039
12,1/20/2012,0.0279783,0.0246326,0.0237536,0.1284263,0.849976
13,1/23/2012,0.0237927,0.0224476,0.0251364,0.1277786,0.2740649
14,1/24/2012,0.0240903,0.0215325,0.0202682,0.1214669,0.2453544
15,1/25/2012,0.0159238,0.0131847,0.0093007,0.1057426,0.4006728
16,1/26/2012,0.0107895,0.0092629,0.0075769,0.103827,0.2590549
17,1/27/2012,0.0096733,0.0146974,0.0120852,0.1201577,0.2905126
18,1/30/2012,0.0164261,0.0143986,0.0159304,0.1170156,0.1870445
19,1/31/2012,0.0210023,0.0181149,0.0175784,0.1203368,0.1719183
20,2/1/2012,0.0228068,0.0195156,0.0213479,0.1213291,0.1862555
21,2/2/2012,0.0227323,0.0203559,0.0241135,0.1272136,0.1938126
22,2/3/2012,0.0281085,0.0302725,0.0297583,0.1426347,0.2544173
23,2/6/2012,0.0321266,0.043065,0.0353841,0.1601643,0.2955066
24,2/7/2012,0.0433812,0.041739,0.0445711,0.1569808,0.1678734
25,2/8/2012,0.0447578,0.0435505,0.0454993,0.1612116,0.1473168
26,2/9/2012,0.0479016,0.0464825,0.0495151,0.1634304,0.1817541
27,2/10/2012,0.0440695,0.0405625,0.0447985,0.1557957,0.1866159
28,2/13/2012,0.0464878,0.0458662,0.0504811,0.1644364,0.1457028
29,2/14/2012,0.0474552,0.0441668,0.0455183,0.1610876,0.1446936
30,2/15/2012,0.0487387,0.0450259,0.0434346,0.1553133,0.1947137
31,2/16/2012,0.039363,0.0411975,0.0388885,0.1566363,0.2031558
32,2/17/2012,0.0413721,0.0400956,0.043302,0.1540455,0.1965759
33,2/21/2012,0.040349,0.0496386,0.0437377,0.166917,0.199127
34,2/22/2012,0.0478458,0.0486115,0.0473557,0.1585932,0.1578214
